Cena,Stanje,Marka,Tip,Model,Godiste,Kilometraza,Kubikaza,kW,KS,Broj cilindara,Menjac,Boja,Registracija,Poreklo,Ostecenje
999,Polovan motor,Piaggio,Scooter,beverly 200,2002,16000,198,14,19,1, Automatski, Plava, Nije registrovan, Na ime kupca, Nije ostecen
1399,Polovan motor,Piaggio,Scooter,beverly 250,2005,30000,244,15,20,1, Automatski, Crna, Nije registrovan, Na ime kupca, Nije ostecen
1199,Polovan motor,Piaggio,Scooter,beverly,2002,36000,200,15,20,1, Automatski, Crvena, 09.2017.,Domace tablice, Nije ostecen
650,Polovan motor,Yamaha,Sport / Super sport,FZR 600R,1994,74000,600,74,100,4, Manuelni,Zuta, Nije registrovan, Strane tablice, Nije ostecen
3350,Polovan motor,Honda,Enduro / Cross,TRANSALP XL 650 V4,2004,12000,650,39,53,2, Manuelni, Plava, 06.2017.,Domace tablice, Nije ostecen
8495,Nov motor,Kawasaki,Naked,Z900,2017,0,948,92,125,4, Manuelni, Siva, Nije registrovan, Na ime kupca, Nije ostecen
8500,Nov motor,Yamaha,Chopper / Cruiser,XVS950CR,2017,0,950,39,53,2, Manuelni,Zuta, Nije registrovan, Na ime kupca, Nije ostecen
8150,Nov motor,Yamaha,Naked,XSR 700,2017,0,689,55,75,2, Manuelni,Zuta, Nije registrovan, Na ime kupca, Nije ostecen
8650,Nov motor,Yamaha,Chopper / Cruiser,MT 07 TRACER,2017,0,689,55,75,2, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
2400,Nov motor,Yamaha,Scooter,NEOS 50 2T,2017,0,49,2,3,1, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
16990,Nov motor,Yamaha,Sport / Super sport,FJR1300A AKCIJA,2017,0,1300,108,147,4, Manuelni, Braon, Nije registrovan, Na ime kupca, Nije ostecen
2250,Nov motor,Piaggio,Scooter,LIBERTY 50 4T iGET,2017,0,50,2,3,1, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
8180,Nov motor,Kawasaki,Chopper / Cruiser,Vulcan 900,2016,0,903,35,48,4, Manuelni, Siva, Nije registrovan, Na ime kupca, Nije ostecen
899,Nov motor,Peda,Moped,Thunder model 2017,2016,0,49,2,3,1, Automatski, Crna, Nije registrovan, Na ime kupca, Nije ostecen
3890,Polovan motor,Honda,Sport / Super sport,CBF 1000 ABS FI,2007,37000,1000,72,98,4, Manuelni, Plava, Nije registrovan, Na ime kupca, Nije ostecen
3190,Polovan motor,Honda,Sport / Super sport,CBR 1100 XX FI CBS,2003,37000,1100,112,152,4, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
2990,Polovan motor,Kawasaki,Sport / Super sport,NINJA 250 R SPEC. EDITION,2009,21000,250,24,33,2, Manuelni, Zelena, Nije registrovan, Na ime kupca, Nije ostecen
4499,Polovan motor,Yamaha,Scooter,Majesty 400 cc Automatic,2012,25980,395,25,34,1, Automatski, Crna, Nije registrovan, Na ime kupca, Nije ostecen
15800,Polovan motor,BMW,Touring,K1600 GT,2013,39000,1600,118,160,6, Manuelni, Bela, 01.2018.,Domace tablice, Nije ostecen
11855,Nov motor,Kawasaki,Naked,Z1000,2017,0,1043,104,142,4, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
7850,Nov motor,Yamaha,Enduro / Cross,XTZ660 mini tenere,2017,0,660,36,49,1, Manuelni, Plava, Nije registrovan, Na ime kupca, Nije ostecen
24299,Nov motor,Bombardier,Chopper / Cruiser,SPYDER F3 T,2016,0,1330,85,115,3, Automatski, Crvena, Nije registrovan,Domace tablice, Nije ostecen
4847,Nov motor,Kawasaki,Sport / Super sport,ninja 300,2016,0,296,29,39,2, Manuelni, Zelena, Nije registrovan, Na ime kupca, Nije ostecen
1100,Nov motor,Peda,Scooter,GP 50,2017,0,49,3,3,1, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
1080,Nov motor,Peda,Scooter,ET,2017,0,49,3,3,1, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
12100,Nov motor,Yamaha,Scooter,T MAX 530A SX NOVITET,2017,0,530,34,46,2, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
12990,Nov motor,Yamaha,Scooter,TMAX 530A DX NOVITET,2017,0,530,34,46,2, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
5650,Nov motor,KTM,Naked,Duke 390 MY17,2017,0,373,32,44,1, Manuelni, Narandžasta, Nije registrovan,Domace tablice, Nije ostecen
4450,Nov motor,KTM,Naked,Duke 125 MY17,2017,0,124,11,15,1, Manuelni, Narandžasta, Nije registrovan,Domace tablice, Nije ostecen
4690,Nov motor,Asiawing,Enduro / Cross,LX450,2016,0,450,33,45,1, Manuelni, Bela, Nije registrovan, Na ime kupca, Nije ostecen
3790,Nov motor,Asiawing,Enduro / Cross,NC250,2016,0,250,21,29,1, Manuelni, Bela, Nije registrovan, Na ime kupca, Nije ostecen
2690,Nov motor,CFMOTO,Naked,150NK,2016,0,149,9,12,1, Manuelni,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
3990,Nov motor,CFMOTO,Naked,650NK,2016,0,649,44,60,2, Manuelni,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
2890,Nov motor,CFMOTO,Scooter,JETMAX 250,2016,0,250,15,20,nepoznato, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
2811,Nov motor,Vespa,Scooter,SPRINT 50 2T,2017,0,49,3,4,1, Automatski, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
879,Nov motor,Peda,Scooter,THUNDER,2017,0,49,3,4,1, Automatski,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
2200,Polovan motor,Yamaha,Scooter,majesty,2007,40000,400,26,35,1, Automatski, Crna, 07.2017.,Domace tablice, Nije ostecen
4890,Polovan motor,Yamaha,Sport / Super sport,FZ1 FAZER 1000 FI,2006,27000,1000,110,150,4, Manuelni, Plava, Nije registrovan, Na ime kupca, Nije ostecen
4890,Polovan motor,Honda,Enduro / Cross,XL 1000 VARADERO FI ABS,2006,33000,1000,69,94,2, Manuelni, Srebrna, Nije registrovan, Na ime kupca, Nije ostecen
