Cena,Stanje,Tip,Godiste,Kilometraza,Kubikaza,kW,KS,BrojCilindara,Menjac,Boja,Registracija,Poreklo,Ostecenje
999,Polovan motor,Scooter,2002,16000,198,14,19,1, Automatski, Plava, Nije registrovan, Na ime kupca, Nije ostecen
1399,Polovan motor,Scooter,2005,30000,244,15,20,1, Automatski, Crna, Nije registrovan, Na ime kupca, Nije ostecen
1199,Polovan motor,Scooter,2002,36000,200,15,20,1, Automatski, Crvena, Registrovan,Domace tablice, Nije ostecen
650,Polovan motor,Sport / Super sport,1994,74000,600,74,100,4, Manuelni,Zuta, Nije registrovan, Strane tablice, Nije ostecen
3350,Polovan motor,Enduro / Cross,2004,12000,650,39,53,2, Manuelni, Plava, Registrovan,Domace tablice, Nije ostecen
8495,Nov motor,Naked,2017,0,948,92,125,4, Manuelni, Siva, Nije registrovan, Na ime kupca, Nije ostecen
8500,Nov motor,Chopper / Cruiser,2017,0,950,39,53,2, Manuelni,Zuta, Nije registrovan, Na ime kupca, Nije ostecen
8150,Nov motor,Naked,2017,0,689,55,75,2, Manuelni,Zuta, Nije registrovan, Na ime kupca, Nije ostecen
8650,Nov motor,Chopper / Cruiser,2017,0,689,55,75,2, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
2400,Nov motor,Scooter,2017,0,49,2,3,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
16990,Nov motor,Sport / Super sport,2017,0,1300,108,147,4, Manuelni, Braon, Nije registrovan, Na ime kupca, Nije ostecen
2250,Nov motor,Scooter,2017,0,50,2,3,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
8180,Nov motor,Chopper / Cruiser,2016,0,903,35,48,4, Manuelni, Siva, Nije registrovan, Na ime kupca, Nije ostecen
899,Nov motor,Moped,2016,0,49,2,3,1, Automatski, Crna, Nije registrovan, Na ime kupca, Nije ostecen
3890,Polovan motor,Sport / Super sport,2007,37000,1000,72,98,4, Manuelni, Plava, Nije registrovan, Na ime kupca, Nije ostecen
3190,Polovan motor,Sport / Super sport,2003,37000,1100,112,152,4, Manuelni, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
2990,Polovan motor,Sport / Super sport,2009,21000,250,24,33,2, Manuelni, Zelena, Nije registrovan, Na ime kupca, Nije ostecen
4499,Polovan motor,Scooter,2012,25980,395,25,34,1, Automatski, Crna, Nije registrovan, Na ime kupca, Nije ostecen
15800,Polovan motor,Touring,2013,39000,1600,118,160,6, Manuelni, Bela, Registrovan,Domace tablice, Nije ostecen
11855,Nov motor,Naked,2017,0,1043,104,142,4, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
7850,Nov motor,Enduro / Cross,2017,0,660,36,49,1, Manuelni, Plava, Nije registrovan, Na ime kupca, Nije ostecen
24299,Nov motor,Chopper / Cruiser,2016,0,1330,85,115,3, Automatski, Crvena, Nije registrovan,Domace tablice, Nije ostecen
4847,Nov motor,Sport / Super sport,2016,0,296,29,39,2, Manuelni, Zelena, Nije registrovan, Na ime kupca, Nije ostecen
1100,Nov motor,Scooter,2017,0,49,3,3,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
1080,Nov motor,Scooter,2017,0,49,3,3,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
12100,Nov motor,Scooter,2017,0,530,34,46,2, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
12990,Nov motor,Scooter,2017,0,530,34,46,2, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
5650,Nov motor,Naked,2017,0,373,32,44,1, Manuelni, Narandžasta, Nije registrovan,Domace tablice, Nije ostecen
4450,Nov motor,Naked,2017,0,124,11,15,1, Manuelni, Narandžasta, Nije registrovan,Domace tablice, Nije ostecen
4690,Nov motor,Enduro / Cross,2016,0,450,33,45,1, Manuelni, Bela, Nije registrovan, Na ime kupca, Nije ostecen
3790,Nov motor,Enduro / Cross,2016,0,250,21,29,1, Manuelni, Bela, Nije registrovan, Na ime kupca, Nije ostecen
2690,Nov motor,Naked,2016,0,149,9,12,1, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
3990,Nov motor,Naked,2016,0,649,44,60,2, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
2890,Nov motor,Scooter,2016,0,250,15,20,, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
2811,Nov motor,Scooter,2017,0,49,3,4,1, Automatski, Crvena, Nije registrovan, Na ime kupca, Nije ostecen
879,Nov motor,Scooter,2017,0,49,3,4,1, Automatski,, Nije registrovan, Na ime kupca, Nije ostecen
2200,Polovan motor,Scooter,2007,40000,400,26,35,1, Automatski, Crna, Registrovan,Domace tablice, Nije ostecen
4890,Polovan motor,Sport / Super sport,2006,27000,1000,110,150,4, Manuelni, Plava, Nije registrovan, Na ime kupca, Nije ostecen
4890,Polovan motor,Enduro / Cross,2006,33000,1000,69,94,2, Manuelni, Srebrna, Nije registrovan, Na ime kupca, Nije ostecen
3490,Polovan motor,Enduro / Cross,2003,37000,1000,72,98,2, Manuelni, Siva, Nije registrovan, Na ime kupca, Nije ostecen
3790,Polovan motor,Sport / Super sport,2003,31000,900,110,150,4, Manuelni, Plava, Nije registrovan, Na ime kupca, Nije ostecen
2999,Polovan motor,Sport / Super sport,2002,35000,600,88,120,4, Manuelni, Crvena, Registrovan,Domace tablice, Nije ostecen
15800,Polovan motor,Touring,2013,39000,1600,118,160,6, Manuelni, Bela, Registrovan,Domace tablice, Nije ostecen
600,Nov motor,Enduro / Cross,2017,0,200,17,23,1, Manuelni,, Nije registrovan, Na ime kupca, Nije ostecen
3900,Polovan motor,Moped,2005,24000,750,117,159,1, Manuelni, Crna, Registrovan,Domace tablice, Nije ostecen
1750,Polovan motor,Enduro / Cross,1998,28753,250,24,32,1, Manuelni, Bela, Nije registrovan,Domace tablice, Nije ostecen
3350,Polovan motor,Enduro / Cross,2009,650,450,45,61,1, Manuelni, Plava, Nije registrovan, Strane tablice, Nije ostecen
6900,Polovan motor,Touring,2011,8900,650,50,68,2, Manuelni, Crna, Nije registrovan,Domace tablice, Nije ostecen
15800,Polovan motor,Touring,2013,39000,1600,118,160,6, Manuelni, Bela, Registrovan,Domace tablice, Nije ostecen
3950,Polovan motor,Naked,2003,25000,919,80,109,4, Manuelni, Plava, Nije registrovan, Na ime kupca, Nije ostecen
