6.900 €,Polovan motor,Yamaha,Scooter,X MAX 400 ABS,2017. godište,Cena nije fiksna,Kubikaža (cm3) 395,Snaga (kW/KS) 22/30,Broj cilindara 1,nepoznato,Boja Siva,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
1.830 €,Polovan motor,Malaguti,Scooter,madison 3 250ie,2009. godište,28.000 km,Kubikaža (cm3) 244,Snaga (kW/KS) 16/22,Broj cilindara 1,Menjač Automatski,Boja Crna,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
3.990 €,Polovan motor,Suzuki,Touring,dl 650 v strom,2007. godište,32.000 km,Kubikaža (cm3) 650,Snaga (kW/KS) 51/69,Broj cilindara 2,Menjač Manuelni,Boja Siva,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
999 €,Polovan motor,Piaggio,Scooter,beverly 200,2002. godište,16.000 km,Kubikaža (cm3) 198,Snaga (kW/KS) 14/19,Broj cilindara 1,Menjač Automatski,Boja Plava,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
1.399 €,Polovan motor,Piaggio,Scooter,beverly 250,2005. godište,30.000 km,Kubikaža (cm3) 244,Snaga (kW/KS) 15/20,Broj cilindara 1,Menjač Automatski,Boja Crna,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
1.199 €,Polovan motor,Piaggio,Scooter,beverly,2002. godište,36.000 km,Kubikaža (cm3) 200,Snaga (kW/KS) 15/20,Broj cilindara 1,Menjač Automatski,Boja Crvena,Registrovan do 09.2017.,Poreklo vozila Domaće tablice,nepoznato,Oštećenje Nije oštećen
650 €,Polovan motor,Yamaha,Sport / Super sport,FZR 600R,1994. godište,74.000 km,Kubikaža (cm3) 600,Snaga (kW/KS) 74/100,Broj cilindara 4,Menjač Manuelni,Boja Žuta,Registrovan do Nije registrovan,Poreklo vozila Strane tablice,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
3.350 €,Polovan motor,Honda,Enduro / Cross,TRANSALP XL 650 V4,2004. godište,12.000 km,Kubikaža (cm3) 650,Snaga (kW/KS) 39/53,Broj cilindara 2,Menjač Manuelni,Boja Plava,Registrovan do 06.2017.,Poreklo vozila Domaće tablice,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
8.495 €,Nov motor,Kawasaki,Naked,Z900,2017. godište,0 km,Kubikaža (cm3) 948,Snaga (kW/KS) 92/125,Broj cilindara 4,Menjač Manuelni,Boja Siva,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
Na upit,Nov motor,KTM,Enduro / Cross,300 EXC,2017. godište,0 km,Kubikaža (cm3) 299,Snaga (kW/KS) 20/27,Broj cilindara 1,Menjač Manuelni,Boja Narandžasta,Registrovan do Nije registrovan,Poreklo vozila Domaće tablice,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
