"","Cena","Stanje","Marka","Tip","Model","Godiste","Kilometraza","Kubikaza","kW","KS","Broj.cilindara","Menjac","Boja","Registracija","Poreklo","Ostecenje"
"40",3490,"Polovan motor","Suzuki","Enduro / Cross","DL 1000 V STROM FI",2003,37000,1000,72,98,2," Manuelni"," Siva"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"45",3900,"Polovan motor","Suzuki","Moped","K 5",2005,24000,750,117,159,1," Manuelni"," Crna"," 05.2017.","Domace tablice"," Nije ostecen"
"48",6900,"Polovan motor","Suzuki","Touring","V STROM 650",2011,8900,650,50,68,2," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"120",3700,"Polovan motor","Suzuki","Sport / Super sport","Hayabusa",2002,48560,1300,130,177,4," Manuelni"," Plava"," 09.2017.","Domace tablice"," Nije ostecen"
"176",2300,"Polovan motor","Suzuki","Sport / Super sport","GSXR 600 K3",2003,49000,600,85,116,NA," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"191",2450,"Polovan motor","Suzuki","Scooter","Burgman 650",2002,33000,650,41,56,2," Automatski"," Teget"," 05.2017.","Domace tablice"," Nije ostecen"
"198",1250,"Polovan motor","Suzuki","Sport / Super sport","GSX 600F",1994,30000,600,67,91,4," Manuelni",""," Nije registrovan"," Na ime kupca"," Nije ostecen"
"199",4700,"Polovan motor","Suzuki","Chopper / Cruiser","M50",2006,16000,805,40,54,4," Manuelni"," Bordo"," Nije registrovan","Domace tablice"," Nije ostecen"
"243",3400,"Polovan motor","Suzuki","Scooter","Burgman 650 EXECUTIVE",2008,60000,638,41,55,2," Automatski"," Siva"," Nije registrovan"," Strane tablice"," Nije ostecen"
"248",550,"Polovan motor","Suzuki","Naked","Gs550 vodi se na 125",1988,212123,550,60,82,4," Manuelni","Zuta"," Nije registrovan","Domace tablice"," Nije ostecen"
"250",1000,"Polovan motor","Suzuki","Enduro / Cross","Dr650rse",1992,55000,649,36,49,1," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"259",5000,"Polovan motor","Suzuki","Enduro / Cross","vstrom",2008,14000,649,49,67,2," Manuelni"," Siva"," 06.2017.","Domace tablice"," Nije ostecen"
"264",2300,"Polovan motor","Suzuki","Naked","Bandit 1200",1997,54000,1158,73,99,4," Manuelni"," Plava"," 09.2017.","Domace tablice"," Nije ostecen"
"286",9100,"Polovan motor","Suzuki","Sport / Super sport","Hayabusa",2009,25000,1340,175,238,4," Manuelni"," Plava"," 05.2017.","Domace tablice"," Nije ostecen"
"290",1500,"Polovan motor","Suzuki","Naked","Bandit 600 N",1995,20000,600,57,77,4," Manuelni"," Crvena"," 07.2017.","Domace tablice"," Nije ostecen"
